partner_id,partner_name,phone,city,vehicle_type,rating,total_deliveries,join_date
1,Rohit Mishra,+917113158986,Pune,Bike,3.1,484,2025-04-09
2,Nisha Gupta,+919047954518,Jaipur,Bicycle,3.1,1546,2023-10-23
3,Sai Nair,+917330992932,Mumbai,Scooter,3.8,797,2024-09-24
4,Megha Kumar,+919265380644,Pune,Bike,3.8,1431,2024-08-28
5,Divya Tiwari,+917056734039,Delhi,Bike,4.8,181,2025-02-08
6,Akash Patel,+919161637381,Mumbai,Bike,3.8,1910,2024-12-19
7,Ritika Saxena,+918108335016,Lucknow,Scooter,4.4,1785,2023-11-08
8,Kiara Gupta,+919239829921,Bangalore,Bicycle,4.5,1690,2025-02-23
9,Vihaan Nair,+918684876851,Delhi,Scooter,4.1,366,2025-05-10
10,Simran Chopra,+918345139329,Chennai,Bike,3.8,273,2024-06-15
11,Divya Menon,+917836361522,Delhi,Bike,3.7,1424,2023-06-29
12,Aadhya Rao,+917699050622,Hyderabad,Bike,4.2,1316,2023-12-10
13,Kavita Reddy,+919741859687,Lucknow,Bike,3.2,2385,2024-12-30
14,Aditya Banerjee,+919077935216,Mumbai,Bike,4.9,84,2024-05-31
15,Akash Rao,+918709982756,Hyderabad,Bike,3.8,1507,2023-10-11
16,Pankaj Agarwal,+917418243223,Delhi,Bicycle,4.0,2106,2023-11-01
17,Vivaan Banerjee,+918641157401,Bangalore,Bicycle,3.1,710,2023-11-03
18,Shruti Bhat,+917338240928,Jaipur,Bike,4.4,933,2025-04-28
19,Divya Kumar,+917691691710,Ahmedabad,Scooter,5.0,2543,2025-03-29
20,Swati Yadav,+918466367500,Bangalore,Bike,3.6,2603,2024-08-15
21,Aditya Chauhan,+919932919247,Bangalore,Bike,4.2,357,2023-11-04
22,Suresh Mukherjee,+919136844280,Mumbai,Bike,4.5,1317,2024-12-12
23,Sai Chopra,+917404216517,Bangalore,Bike,3.6,329,2024-03-13
24,Suresh Shah,+918517706056,Mumbai,Bike,4.5,1106,2024-09-27
25,Ira Pandey,+918898570486,Chennai,Bike,3.2,2379,2024-10-12
26,Aditya Shah,+918231045296,Bangalore,Bicycle,4.8,578,2024-08-25
27,Pooja Malhotra,+919682773608,Ahmedabad,Bike,4.4,2122,2024-09-03
28,Ira Chauhan,+919931553951,Mumbai,Bicycle,3.1,1052,2025-05-17
29,Kavita Sharma,+917663839732,Jaipur,Bike,3.3,1685,2023-08-14
30,Aanya Iyer,+918985471356,Chennai,Bike,3.9,2241,2024-09-19
31,Reyansh Gupta,+917774268185,Pune,Bicycle,4.8,1824,2023-12-22
32,Sneha Mehta,+917276903132,Delhi,Bicycle,4.0,2926,2025-06-29
33,Deepak Singh,+918195611791,Bangalore,Scooter,4.9,646,2025-03-17
34,Sara Mehta,+919440428643,Mumbai,Scooter,3.8,1530,2024-08-14
35,Deepak Reddy,+917232261179,Delhi,Bike,4.5,1782,2024-03-03
36,Ira Mukherjee,+917756367883,Mumbai,Bike,3.8,1271,2025-05-30
37,Karan Srivastava,+918802691665,Hyderabad,Scooter,3.5,270,2023-09-03
38,Meera Mehta,+918275197185,Mumbai,Bike,3.8,1997,2024-11-30
39,Pankaj Dubey,+917690154672,Ahmedabad,Bike,4.8,2386,2024-07-03
40,Aarav Kapoor,+919564647996,Delhi,Scooter,4.2,642,2024-04-27
41,Nikhil Saxena,+918359422830,Mumbai,Bicycle,4.9,2095,2024-04-20
42,Ayaan Dubey,+919894573076,Bangalore,Scooter,3.0,1895,2023-10-07
43,Gaurav Bhat,+919744125013,Ahmedabad,Bike,3.4,818,2024-08-04
44,Pankaj Kapoor,+917713398481,Chennai,Bike,3.4,832,2025-04-26
45,Suresh Sharma,+918590239196,Kolkata,Bike,4.8,2106,2023-10-06
46,Pankaj Chopra,+919787054431,Ahmedabad,Bike,3.7,2271,2024-08-10
47,Swati Pandey,+918442364344,Mumbai,Bike,3.9,774,2024-12-18
48,Harish Patel,+919331148814,Bangalore,Bike,4.3,2836,2024-08-21
49,Gaurav Rao,+919664496735,Lucknow,Bicycle,3.2,408,2023-09-15
50,Sai Mukherjee,+917070551235,Chennai,Bike,4.0,2605,2024-12-09
51,Reyansh Mukherjee,+918907409402,Hyderabad,Scooter,4.3,1772,2024-01-03
52,Aanya Pandey,+918952620469,Hyderabad,Bike,4.7,559,2024-05-25
53,Simran Menon,+919769650106,Pune,Scooter,3.0,1584,2024-01-16
54,Manish Rao,+918149372498,Jaipur,Bike,4.7,1748,2025-04-20
55,Aadhya Sharma,+918780507306,Mumbai,Bike,4.6,2175,2025-06-29
56,Harish Mehta,+918439200321,Mumbai,Scooter,3.9,2326,2024-07-05
57,Myra Das,+919767824511,Bangalore,Bike,4.9,1807,2023-10-10
58,Gaurav Iyer,+917746109986,Bangalore,Bike,3.3,996,2023-09-10
59,Ritika Dubey,+917542584435,Hyderabad,Scooter,4.6,2619,2024-02-22
60,Kavita Patel,+918384717361,Delhi,Bike,3.9,2625,2025-01-28
61,Ishaan Sharma,+919654717749,Pune,Bicycle,3.2,1616,2023-06-26
62,Megha Mishra,+917560699443,Ahmedabad,Scooter,4.6,814,2024-02-01
63,Divya Chauhan,+917952431430,Delhi,Scooter,3.5,1598,2024-02-22
64,Nikhil Verma,+918180964952,Mumbai,Bike,3.0,2423,2023-09-14
65,Ayaan Bhat,+919559347163,Mumbai,Bike,3.5,789,2023-09-04
66,Arjun Chopra,+918552189659,Lucknow,Bike,3.2,139,2024-07-28
67,Arjun Chopra,+919687286994,Mumbai,Scooter,3.8,1334,2025-03-10
68,Karan Dubey,+917691934899,Mumbai,Bike,3.4,2373,2025-03-08
69,Harish Srivastava,+917135078768,Mumbai,Bike,3.7,2564,2025-02-04
70,Rajesh Sharma,+917680272418,Hyderabad,Bike,3.2,2532,2023-07-01
71,Rajesh Sharma,+919224771260,Hyderabad,Bike,4.7,520,2024-01-09
72,Vivaan Mehta,+917595132228,Delhi,Scooter,4.9,1146,2024-03-07
73,Deepak Reddy,+917395007463,Bangalore,Scooter,3.6,2080,2024-08-20
74,Manish Iyer,+917829161660,Delhi,Bike,4.7,2988,2024-03-14
75,Sneha Singh,+919506750155,Kolkata,Scooter,3.3,893,2025-06-09
76,Ankita Menon,+918916232890,Bangalore,Scooter,4.6,2601,2023-09-19
77,Harish Iyer,+918843885186,Delhi,Bike,4.8,313,2024-09-03
78,Ananya Chauhan,+917144998113,Ahmedabad,Bike,3.8,2523,2025-03-22
79,Swati Shah,+918710714118,Mumbai,Bike,3.6,811,2024-06-01
80,Aadhya Gupta,+917924208945,Chennai,Bike,4.6,550,2023-06-10
81,Rahul Tiwari,+917046819541,Pune,Bike,4.1,1367,2024-01-25
82,Kavita Gupta,+918656100244,Delhi,Bike,3.4,2347,2024-03-11
83,Ritika Das,+919883404698,Mumbai,Bicycle,3.8,1832,2024-04-21
84,Rahul Reddy,+917846637941,Mumbai,Bike,3.1,1174,2024-08-05
85,Ayaan Singh,+918944697243,Mumbai,Bike,3.8,2410,2023-06-22
86,Riya Sharma,+919764527024,Kolkata,Scooter,3.0,1941,2024-03-18
87,Krishna Saxena,+918730059192,Mumbai,Scooter,4.1,1431,2025-03-22
88,Vivaan Gupta,+919018176579,Mumbai,Scooter,4.4,1175,2024-04-20
89,Akash Shah,+918719465864,Mumbai,Scooter,4.0,242,2024-07-07
90,Priya Tiwari,+918952413710,Hyderabad,Scooter,4.8,1581,2025-02-22
91,Reyansh Sharma,+917962134345,Mumbai,Bike,3.2,1372,2025-05-05
92,Varun Menon,+917972128295,Mumbai,Bike,4.8,1560,2024-12-02
93,Aarav Yadav,+919955973653,Jaipur,Bike,4.6,503,2023-07-20
94,Priya Gupta,+918132699410,Delhi,Scooter,4.6,1155,2025-05-16
95,Ananya Yadav,+917591688985,Hyderabad,Bike,3.6,656,2025-01-19
96,Vikram Mukherjee,+918918904367,Chennai,Scooter,3.5,2007,2025-04-08
97,Ankita Joshi,+918382598777,Kolkata,Bike,3.2,1263,2025-05-29
98,Sai Shah,+919398804641,Jaipur,Bike,4.3,893,2025-05-12
99,Arjun Gupta,+919124315530,Mumbai,Bike,3.4,1627,2023-12-10
100,Ankita Singh,+918462222211,Delhi,Scooter,4.1,1333,2024-04-15
101,Ritika Bhat,+919814446299,Mumbai,Scooter,4.8,946,2024-06-07
102,Rohit Bhat,+919664932946,Hyderabad,Scooter,3.4,1188,2024-08-07
103,Ananya Agarwal,+918319185369,Ahmedabad,Scooter,3.2,1938,2023-09-18
104,Megha Singh,+918033207905,Mumbai,Bike,3.5,2000,2025-04-08
105,Swati Bhat,+918511643051,Delhi,Bicycle,3.2,1817,2024-01-04
106,Ishaan Iyer,+919156891321,Bangalore,Bike,3.9,1564,2023-09-09
107,Vihaan Mukherjee,+918642921735,Pune,Bike,3.6,1699,2023-11-28
108,Harish Joshi,+919274454718,Chennai,Scooter,3.2,254,2025-03-23
109,Aadhya Singh,+917943087932,Mumbai,Bicycle,4.2,1027,2023-08-07
110,Rajesh Singh,+918183089470,Delhi,Scooter,4.4,1655,2024-07-07
111,Reyansh Nair,+919970759240,Delhi,Bike,4.6,1473,2025-03-14
112,Riya Tiwari,+919561146530,Delhi,Bike,3.4,2919,2025-02-27
113,Deepak Mishra,+918311357402,Jaipur,Scooter,3.3,2841,2023-08-11
114,Ananya Patel,+918426596199,Lucknow,Bike,3.0,1993,2024-08-12
115,Amit Sharma,+917762421312,Ahmedabad,Bicycle,3.3,89,2025-01-29
116,Neha Chopra,+919504648241,Mumbai,Bicycle,3.9,235,2023-06-18
117,Suresh Agarwal,+918248369039,Jaipur,Scooter,3.3,650,2023-09-05
118,Reyansh Rao,+918441723238,Bangalore,Scooter,5.0,1104,2025-04-10
119,Ankita Joshi,+918564610773,Bangalore,Scooter,3.6,1416,2024-11-12
120,Tanya Agarwal,+919558699034,Bangalore,Bike,4.0,2670,2023-06-22
121,Ishaan Menon,+917945990607,Chennai,Bike,4.0,1050,2025-01-12
122,Megha Tiwari,+918849930521,Bangalore,Scooter,3.4,1597,2025-03-16
123,Reyansh Joshi,+919692479387,Chennai,Bicycle,3.9,2208,2023-11-27
124,Ira Yadav,+919916567823,Bangalore,Bike,4.2,1181,2024-04-12
125,Myra Verma,+919489005841,Hyderabad,Bike,4.2,1825,2024-09-08
126,Suresh Dubey,+918490344265,Delhi,Bicycle,4.0,2857,2023-10-29
127,Simran Agarwal,+917645223267,Hyderabad,Bike,4.1,716,2024-04-06
128,Ankita Rao,+917277525726,Kolkata,Bike,3.1,1209,2025-01-28
129,Ayaan Verma,+919097517915,Delhi,Bike,4.3,52,2023-07-22
130,Ira Kumar,+918504175844,Jaipur,Scooter,4.0,2346,2023-11-06
131,Sai Tiwari,+918162514050,Mumbai,Scooter,3.9,380,2024-03-24
132,Aanya Verma,+919032283015,Lucknow,Bike,4.4,1632,2024-08-06
133,Sneha Chauhan,+917421502469,Lucknow,Bicycle,4.2,759,2024-12-29
134,Meera Agarwal,+918385040616,Kolkata,Bike,4.5,1074,2023-10-17
135,Vikram Kapoor,+917856945516,Delhi,Bike,4.1,2623,2024-09-15
136,Rajesh Patel,+918614761436,Kolkata,Scooter,3.2,2206,2024-08-26
137,Pankaj Mehta,+919163869667,Lucknow,Scooter,3.9,1801,2024-09-20
138,Vikram Menon,+918981199619,Mumbai,Scooter,4.9,1774,2023-08-30
139,Akash Kumar,+919642300599,Lucknow,Scooter,4.2,1578,2023-10-09
